Area,Year,Wood fuel (m3),,,,Industrial roundwood,,,,Other industrial roundwood,,,,,Harvesting,Export,Import,Consumption,Consumption,Consumption,,End-use pool,Delta(End-use ),Landfill pool,Delta(Landfill ),Emision
,,Production,Import,Export,Balance,Production,Import,Export,Balance,Production,Import,Export,Balance,,TgC/year,TgC/year,TgC/year,Total,end-use,Fuel and landfill,,Tg C,Tg C,Tg C,Tg C,TgC
Canada,1961,23708014,8400,,,2596000,32400,200,2628200,25000,,,25000,,7.90,0.39,0.01,7.52,2.71,4.81,,2.588374816,,3.124646675,,1.68
Canada,1962,23981155,8000,,,3230000,29200,100,3259100,25000,,,25000,,8.17,0.48,0.01,7.70,2.79,4.90,,5.063915365,2.475540549,5.538892476,2.414245801,2.81
Canada,1963,24241903,12600,,,3600000,21900,700,3621200,48000,,,48000,,8.37,0.54,0.01,7.84,2.86,4.98,,7.387183274,2.323267909,5.575656477,0.036764001,5.48
Canada,1964,24531693,6600,,,3898000,11000,1000,3908000,64000,,,64000,,8.55,0.59,0.01,7.97,2.91,5.06,,9.482885037,2.095701763,6.167332915,0.591676438,5.28
Canada,1965,24818464,3500,,,4120000,50900,1300,4169600,67000,,,67000,,8.70,0.62,0.02,8.10,2.97,5.13,,11.4819346,1.999049565,6.44171073,0.274377815,5.83
Canada,1966,25109756,900,,,3753000,32800,900,3784900,79000,,,79000,,8.68,0.56,0.01,8.13,2.96,5.16,,13.74469753,2.26276293,6.151462835,-0.290247896,6.16
Canada,1967,25402203,500,,,4577000,32600,21900,4587700,61000,,,61000,,9.01,0.69,0.01,8.33,3.06,5.27,,16.22517389,2.480476353,6.739916283,0.588453448,5.26
Canada,1968,25697649,1300,,,4672000,24100,0,4696100,57000,,,57000,,9.13,0.70,0.01,8.43,3.10,5.34,,18.23981582,2.014641937,7.125690684,0.385774402,6.03
Canada,1969,25998531,300,,,4912000,27800,8587,4931213,87000,,,87000,,9.30,0.74,0.01,8.57,3.15,5.42,,20.7342523,2.494436473,7.52480609,0.399115406,5.67
Canada,1970,26298987,400,,,5302000,57200,4823,5354377,78000,,,78000,,9.50,0.80,0.02,8.72,3.22,5.50,,23.07061094,2.336358646,8.989767431,1.46496134,4.92
Canada,1971,26810699,6000,,,4860000,26200,6466,4879734,70000,,,70000,,9.52,0.73,0.01,8.80,3.23,5.57,,25.55446662,2.483855677,8.735296696,-0.254470735,6.57
Canada,1972,27118315,5900,,,5139000,5100,4849,5139251,86000,,,86000,,9.70,0.77,0.00,8.93,3.29,5.65,,27.8703126,2.315845982,9.348749154,0.613452458,6.00
Canada,1973,27430597,3500,,,5541000,11200,5749,5546451,75000,,,75000,,9.91,0.83,0.00,9.09,3.35,5.73,,30.34453406,2.47422146,9.200670537,-0.148078617,6.76
Canada,1974,27823759,1100,,,6227000,6100,22700,6210400,84000,,,84000,,10.24,0.94,0.00,9.30,3.45,5.86,,32.81520611,2.470672051,10.38855274,1.187882207,5.64
Canada,1975,28204445,500,,500,6613000,15400,7300,6621100,113000,,,113000,,10.48,0.99,0.00,9.49,3.53,5.96,,35.16539502,2.350188911,10.3012642,-0.087288542,7.23
Canada,1976,28656516,700,,100,6879000,16800,1400,6894400,116000,,,116000,,10.70,1.03,0.01,9.67,3.60,6.07,,37.66746818,2.502073153,8.349439919,-1.951824283,9.12
Canada,1977,29135434,0,,100,6995000,4600,1000,6998600,101000,,,101000,,10.87,1.05,0.00,9.82,3.65,6.17,,40.36278457,2.695316393,9.290965151,0.941525232,6.18
Canada,1978,29325879,0,,600,5082000,4600,5200,5081400,127000,,,127000,,10.36,0.76,0.00,9.60,3.52,6.08,,42.68217584,2.319391268,8.914374123,-0.376591029,7.66
Canada,1979,29425138,2300,,2100,6030000,37100,9600,6057500,202000,,,202000,,10.70,0.91,0.01,9.80,3.63,6.18,,44.90499673,2.222820896,7.545297016,-1.369077106,8.95
Canada,1980,29524675,800,,1400,6345200,67700,8000,6404900,205000,,,205000,,10.82,0.95,0.02,9.89,3.67,6.22,,47.23184048,2.326843752,8.260051285,0.714754268,6.85
Canada,1981,29692177,800,,1600,6252600,28100,24905,6255795,160000,,,160000,,10.83,0.95,0.01,9.89,3.66,6.23,,49.72742096,2.495580479,9.711124469,1.451073184,5.95
Canada,1982,30343451,2600,,2700,6526700,24300,9356,6541644,160000,,,160000,,11.11,0.98,0.01,10.14,3.75,6.38,,52.19664923,2.469228271,9.3337185,-0.377405969,8.04
Canada,1983,31176657,2500,,1000,6575700,24300,8903,6591097,160000,,,160000,,11.37,0.99,0.01,10.39,3.85,6.55,,54.47893316,2.282283927,9.528625476,0.194906976,7.92
Canada,1984,31541628,2500,,4700,7177000,15700,8885,7183815,192000,,,192000,,11.67,1.08,0.01,10.60,3.94,6.66,,57.04337748,2.564444318,10.03833814,0.50971266,7.53
Canada,1985,31939246,2500,,2800,7473000,11600,14022,7470578,199000,,,199000,,11.88,1.13,0.00,10.76,4.00,6.76,,59.76104625,2.71766877,8.902830892,-1.135507244,9.18
Canada,1986,32770921,2500,,2800,7029000,9800,15296,7023504,180000,,,180000,,11.99,1.06,0.00,10.94,4.05,6.89,,62.23393462,2.472888373,10.89614433,1.993313442,6.47
Canada,1987,33234915,2500,,2800,7396000,14100,29335,7380765,170000,,,170000,,12.24,1.12,0.00,11.13,4.13,7.00,,64.64979514,2.415860516,9.127680902,-1.768463431,10.48
Canada,1988,33731946,12000,,2800,7261000,10500,8613,7262887,160000,,,160000,,12.35,1.09,0.01,11.26,4.17,7.09,,67.3605108,2.710715665,8.758261413,-0.369419489,8.92
Canada,1989,34084336,11400,,2800,8311000,11100,11734,8310366,126000,,,126000,,12.76,1.25,0.01,11.51,4.29,7.23,,70.08287073,2.722359928,11.18891399,2.430652577,6.36
Canada,1990,34371305,11000,,8400,7580000,25954,16432,7589522,112000,,,112000,,12.62,1.14,0.01,11.49,4.26,7.23,,72.5733118,2.490441064,10.315681,-0.873232987,9.87
Canada,1991,34604851,5480,,3800,7199000,12348,20242,7191106,79000,,,79000,,12.56,1.09,0.01,11.48,4.24,7.24,,74.86036078,2.287048989,10.00914218,-0.306538825,9.50
Canada,1992,34909787,8500,188685,3435,7045000,11220,19623,7036597,69000,,,69000,,12.61,1.12,0.01,11.49,4.23,7.27,,77.50064341,2.640282628,9.50176907,-0.507373109,9.36
Canada,1993,35364796,6900,371329,1400,5949000,30400,84744,5894656,77000,,,77000,,12.42,1.03,0.01,11.40,4.15,7.25,,79.64592424,2.145280823,8.376661217,-1.125107852,10.38
Canada,1994,35585015,500,400000,2500,6049000,65600,46368,6068232,68000,,,68000,,12.51,1.04,0.02,11.49,4.18,7.31,,81.89696692,2.251042684,7.840945231,-0.535715986,9.77
Canada,1995,36480304,100,200000,700,6060000,43700,24277,6079423,93000,,,93000,,12.79,0.98,0.01,11.83,4.32,7.51,,84.18508706,2.288120139,7.829441009,-0.011504222,9.55
Canada,1996,36791478,100,224000,5300,6544000,25300,23393,6545907,118000,,,118000,,13.04,1.06,0.01,11.99,4.39,7.60,,86.59752264,2.412435577,9.876134505,2.046693496,7.53
Canada,1997,36965080,0,100000,5700,7313000,74300,39918,7347382,128000,,,128000,,13.32,1.14,0.02,12.21,4.49,7.71,,88.90132148,2.303798847,11.43114321,1.555008709,8.35
Canada,1998,37098925,4000,38200,4900,7931000,22000,32232,7920768,140000,,,140000,,13.55,1.21,0.01,12.35,4.57,7.78,,91.19111712,2.289795635,13.06530088,1.634157669,8.42
Canada,1999,37332888,0,34595,6300,8105000,34100,28478,8110622,153000,,,153000,,13.68,1.23,0.01,12.45,4.61,7.84,,93.71765765,2.52654053,13.79996982,0.734668941,9.19
Canada,2000,37560508,0,145144,7900,8105000,32100,140850,7996250,153000,,,153000,,13.75,1.30,0.01,12.45,4.60,7.86,,95.86414627,2.146488618,14.29410556,0.494135734,9.81
Canada,2001,37736319,0,169105,7000,7420000,48000,3835000,3633000,158000,,,158000,,13.59,2.31,0.01,11.29,3.95,7.35,,97.64036243,1.776216164,12.98447615,-1.309629405,10.83
Canada,2002,37912958,0,165853,7000,6054000,63335,4471000,1646335,202000,,,202000,,13.25,2.30,0.02,10.97,3.76,7.21,,99.18481888,1.544456453,11.10779617,-1.876679985,11.30
Canada,2003,38090427,2000,239544,7000,6280000,76000,5004000,1352000,132000,,,132000,,13.35,2.52,0.02,10.86,3.69,7.17,,100.6381346,1.453315767,11.69907264,0.591276468,8.81
Canada,2004,38268734,2000,161733,7000,6912000,193000,3899000,3206000,171000,,,171000,,13.61,2.26,0.06,11.41,3.98,7.43,,102.3744963,1.73636164,9.755915873,-1.943156762,11.62
Canada,2005,38447877,2000,340499,7000,6181000,155987,5592000,744987,153000,,,153000,,13.43,2.71,0.05,10.78,3.62,7.16,,103.5590115,1.184515218,11.66898004,1.913064162,7.68
Canada,2006,38520787,2000,218207,7000,6131000,184791,4640000,1675791,195000,,,195000,,13.45,2.38,0.06,11.13,3.81,7.32,,105.30028,1.741268504,12.72334009,1.054360058,8.34
Canada,2007,38599800,112,259375,7000,6306000,162455,3560000,2908455,154000,,,154000,,13.52,2.09,0.05,11.47,4.00,7.48,,107.2318151,1.931535102,11.31372313,-1.409616966,10.95
Canada,2008,38676100,26,112833,7000,6443000,44899,2839000,3648899,157000,,,157000,,13.58,1.85,0.01,11.74,4.14,7.61,,108.8717732,1.63995807,11.16234425,-0.151378874,10.26
Canada,2009,38752445,12,69065,6493,5126000,31446,2723000,2434446,146000,,,146000,,13.21,1.61,0.01,11.61,4.06,7.55,,110.6583633,1.786590119,9.917415164,-1.244929089,11.07
Canada,2010,38828976,3976,50069,8392,5041000,25664,4019000,1047664,102000,,,102000,,13.19,1.98,0.01,11.22,3.84,7.38,,112.185763,1.527399712,9.167823437,-0.749591727,10.45
Canada,2011,38834414,2513,64945,10821,4880000,24138,5706218,-802080,193000,,,193000,,13.17,2.46,0.01,10.72,3.56,7.15,,113.2625974,1.076834398,9.302673627,0.13485019,9.51
Canada,2012,38839860,4615,43000,37535,5394000,36994,6094000,-663006,327000,,,327000,,13.37,2.65,0.01,10.73,3.57,7.16,,114.3072667,1.044669256,10.04170321,0.739029584,8.95
Canada,2013,38845312,449,38733,37554,5353000,27245,7022798,-1642553,252000,,,252000,,13.34,2.92,0.01,10.42,3.40,7.02,,115.4747848,1.167518103,9.384275205,-0.657428005,9.91
Canada,2014,38850772,810,62000,49928,5353000,21286,6696295,-1322009,252000,,,252000,,13.34,2.83,0.01,10.51,3.45,7.06,,116.2696987,0.794913931,10.36106592,0.976790714,8.74
Canada,2015,38856238,1,69621,9608,5401000,18797,6059972,-640175,65000,,,65000,,13.30,2.65,0.01,10.65,3.53,7.13,,117.2678833,0.998184606,11.54103555,1.179969633,8.48
Canada,2016,38772432,1,63537,15850,6084000,5424,8171930,-2082506,31000,,,31000,,13.47,3.38,0.00,10.08,3.22,6.86,,118.1145772,0.846693848,12.88382139,1.342785833,7.90
Canada,2017,38688813,140,67717,15437,7955000,6000,7401719,559281,44000,,,44000,,14.01,3.43,0.00,10.57,3.49,7.08,,119.1304939,1.015916761,12.97627335,0.092451964,9.47
Canada,2018,38605381,103,35320,18474,7651000,12496,8493975,-830479,70000,,,70000,,13.90,3.71,0.00,10.20,3.29,6.90,,119.80506,0.674566124,13.91632283,0.94004948,8.58
Canada,2019,38522135,103,123932,22322,7651000,80094,7546357,184737,70000,,,70000,,13.87,3.45,0.02,10.45,3.44,7.01,,120.8635316,1.058471556,13.18550262,-0.730820212,10.12
Canada,2020,38439075,163,72730,9754,7651000,77280,5993696,1734584,70000,,,70000,,13.85,2.97,0.02,10.90,3.69,7.21,,122.0528324,1.189300817,11.83113118,-1.354371436,11.07
Canada,2021,38352800,1376,90123,16940.28,7651000,59991,7264533,446458,70000,,,70000,,13.82,3.35,0.02,10.49,3.47,7.02,,123.1436843,1.090851879,10.74519863,-1.085932552,10.48
