Year,Wood fuel (m3),,,,Industrial roundwood,,,,Other industrial roundwood,,,,,Harvesting,Export,Import,Consumption,Consumption,Consumption,,End-use pool,Delta(End-use ),Landfill pool,Delta(Landfill ),Emision
,Production,Import,Export,Balance,Production,Import,Export,Balance,Production,Import,Export,Balance,,TgC/year,TgC/year,TgC/year,Total,end-use,Fuel and landfill,,Tg C,Tg C,Tg C,Tg C,TgC
1961,41432000,,,84028541.33,248338016,3865900,2636100,249567816,8326000,521400,55200,8792200,,89.43,8.26,1.32,82.49,51.07,31.41,,48.96181794,,24.81628016,,6.60
1962,32936000,,,88051974.67,262781016,4056800,2660100,264177716,6655000,616100,51100,7220000,,90.71,8.70,1.40,83.42,54.88,28.54,,99.13280722,50.17098928,32.54751199,7.731231824,25.51
1963,30444008,,,91000608,261394008,3850300,4542700,260701608,6230000,674500,36700,6867800,,89.42,9.22,1.36,81.56,54.29,27.27,,145.348937,46.21612974,38.88286726,6.33535527,29.01
1964,32002008,,,94097074.67,279376008,2585600,5161300,276800308,6513000,754500,77500,7190000,,95.37,9.95,1.00,86.42,57.61,28.80,,189.8629302,44.51399325,46.02707367,7.144206417,34.76
1965,29393000,,,95195341.33,290988024,2588400,5625300,287951124,6513000,701800,65800,7149000,,98.07,10.44,0.99,88.62,60.31,28.31,,243.1348371,53.27190688,39.39607287,-6.631000799,41.98
1966,29450000,,,100493008,299201016,2720900,6670200,295251716,7363000,602800,61200,7904600,,100.80,11.00,1.00,90.81,62.04,28.76,,291.77827,48.64343291,40.21395499,0.817882112,41.34
1967,30186000,,,99257216,294245000,2532400,9280800,287496600,7929000,689200,73700,8544500,,99.71,11.63,0.97,89.04,60.37,28.68,,335.8093494,44.03107937,45.46678685,5.252831865,39.76
1968,31092000,,,103656166.7,309821008,2621500,11885400,300557108,8213000,859600,45000,9027600,,104.74,12.87,1.04,92.91,63.13,29.77,,394.28653,58.47718063,45.8973658,0.430578952,34.00
1969,31149000,,,113760333.3,310104032,2299800,11076800,301327032,8072000,785500,54000,8803500,,104.80,12.64,0.93,93.08,63.25,29.83,,443.0274962,48.74096616,43.92174905,-1.975616755,46.32
1970,35821000,,,113741000,312653008,2578800,12778700,302453108,6514000,860000,85000,7289000,,106.50,13.24,1.03,94.29,62.54,31.75,,491.9584905,48.93099431,52.97262424,9.050875188,36.31
1971,34915000,,,112447666.7,320158016,2323200,10718700,311762516,6939000,1168600,50000,8057600,,108.60,12.84,1.05,96.82,64.88,31.93,,546.7023582,54.74386774,52.64121352,-0.331410714,42.40
1972,35963000,,,116892333.3,315626032,2337800,14638100,303325732,6939000,1508300,50000,8397300,,107.56,13.88,1.15,94.84,62.92,31.91,,593.6173093,46.91495104,57.49760349,4.856389968,43.07
1973,34037000,,,136331333.3,322208000,1766200,14870200,309104000,8450000,1055200,75000,9430200,,109.41,14.15,0.85,96.11,64.63,31.47,,642.7266946,49.1093853,62.28036324,4.782759753,42.21
1974,37265000,,,130184000,320015008,2002900,13268400,308749508,6797000,913000,784400,6925600,,109.22,13.82,0.87,96.28,63.61,32.67,,694.2180175,51.4913229,56.9712478,-5.309115438,50.10
1975,35651000,,,108372333.3,288581008,1627600,13385300,276823308,6513000,634000,833300,6313700,,99.22,12.92,0.68,86.98,56.75,30.23,,739.0506036,44.83258612,47.96077123,-9.010476575,51.16
1976,34886000,,,131538666.7,319875008,1724200,15919700,305679508,6797000,733000,790400,6739600,,108.47,14.61,0.74,94.60,63.12,31.48,,780.9938501,41.9432465,46.86888472,-1.09188651,53.74
1977,42504000,,,137767666.7,320441008,1918300,15294300,307065008,6796000,717000,911400,6601600,,110.92,14.47,0.79,97.24,62.49,34.75,,824.7483525,43.75450244,56.31636146,9.447476735,44.04
1978,53972000,,,147467333.3,346919000,1863700,16331700,332451000,7363000,850000,424300,7788700,,122.48,15.43,0.81,107.86,66.85,41.00,,879.6977273,54.94937481,68.12222862,11.80586716,41.10
1979,62467000,,,152788666.7,354707008,1806500,18635208,337878300,7363000,766700,421600,7708100,,127.36,16.36,0.77,111.77,66.93,44.84,,925.6701366,45.97240921,74.55710498,6.434876358,59.37
1980,71076000,,,146320666.7,327095016,1940600,15800900,313234716,6938000,860000,634800,7163200,,121.53,14.74,0.84,107.63,60.52,47.11,,966.6729962,41.00285966,85.16923089,10.61212591,56.01
1981,76455000,,,134564333.3,317094008,1690200,12593800,306190408,6938000,874700,739500,7073200,,120.15,13.51,0.77,107.40,58.40,49.00,,1006.148441,39.47544439,92.57977249,7.410541603,60.52
1982,100243000,,,117585000,294974008,1503700,15523200,280954508,6938000,627200,752300,6812900,,120.65,13.73,0.64,107.55,49.96,57.60,,1039.557862,33.40942133,96.11394107,3.53416858,70.61
1983,96193000,,,145224000,335840008,1690600,16828100,320702508,6938000,613700,521500,7030200,,131.69,15.28,0.69,117.10,59.05,58.05,,1073.73299,34.17512819,84.79015793,-11.32378314,94.25
1984,102678000,,,156421333.3,360559024,1702000,16726900,345534124,7334000,595300,436000,7493300,,141.17,15.97,0.69,125.89,63.75,62.14,,1121.695231,47.96224059,80.81326507,-3.976892854,81.91
1985,97807000,,,157198000,357586016,1299800,18381308,340504508,7391000,782900,398800,7775100,,138.84,16.36,0.62,123.10,63.27,59.83,,1157.790389,36.09515868,73.13460204,-7.678663035,94.68
1986,100044000,,,165201666.7,392276024,1299300,17488800,376086524,7476000,818800,285900,8008900,,149.94,17.10,0.64,133.47,70.76,62.71,,1206.10525,48.31486016,81.5070908,8.372488763,76.79
1987,82940000,,,179708000,413842000,1820000,19509396,396152604,8127000,1413600,183900,9356700,,151.47,18.32,0.97,134.12,77.44,56.68,,1256.142908,50.03765836,92.58689602,11.07980522,73.00
1988,82148000,,,178780666.7,413527000,1427600,22647096,392307504,8127000,1035200,121800,9040400,,151.14,19.24,0.74,132.64,76.54,56.10,,1310.737498,54.59459038,93.673924,1.087027985,76.96
1989,80703000,,,176585666.7,416900000,1090000,22495200,395494800,7700000,700000,175200,8224800,,151.59,19.31,0.54,132.82,77.20,55.62,,1352.889057,42.15155882,85.0958472,-8.578076801,99.25
1990,82119000,,,150469333.3,427200000,246348,21666105,405780243,7800000,,,7800000,,155.14,19.32,0.07,135.89,79.15,56.74,,1404.133744,51.24468675,85.10246507,0.006617868,84.64
1991,102960000,,,147967333.3,388300000,218867,20700384,367818483,7100000,,,7100000,,149.51,17.86,0.07,131.71,68.31,63.41,,1448.004854,43.87111061,75.74059676,-9.361868304,97.21
1992,80703000,216520,65266,157978666.7,403100000,240200,17276000,386064200,7500000,,,7500000,,147.39,17.30,0.14,130.23,75.13,55.10,,1490.606068,42.60121354,70.65369936,-5.086897402,92.72
1993,69206000,444148,77391,163917666.7,401519992,461800,13030000,388951792,7867000,,,7867000,,143.58,15.98,0.27,127.87,77.38,50.49,,1539.37835,48.77228211,83.58814032,12.93444096,66.17
1994,62326000,478800,140000,171230000,410781008,797000,12215000,399363008,8349000,,,8349000,,144.44,16.03,0.38,128.79,80.59,48.20,,1583.029977,43.65162697,85.65922479,2.071084468,83.07
1995,60882000,271000,128000,176875333.3,408948000,705000,12817000,396836000,8518000,,,8518000,,143.50,16.15,0.29,127.65,80.20,47.45,,1639.48798,56.45800293,83.85665198,-1.802572812,72.99
1996,54482000,180000,132000,178271000,406595000,524000,11945000,395174000,8346000,,,8346000,,140.83,15.82,0.21,125.22,80.56,44.66,,1681.942858,42.45487837,69.39734507,-14.45930691,97.22
1997,48139000,168000,127000,179486000,416092008,582000,10864000,405810008,8346000,,,8346000,,141.77,15.78,0.23,126.22,83.64,42.57,,1729.871564,47.928706,72.78114577,3.383800707,74.91
1998,46213000,115700,254900,167609333.3,423537000,1360000,12290000,412607000,4577000,,,4577000,,142.30,16.47,0.44,126.27,84.38,41.89,,1780.642848,50.77128353,57.33603589,-15.44510989,90.95
1999,46015000,114800,177100,184228000,423298000,1855000,11739000,413414000,4472000,,,4472000,,142.14,16.27,0.59,126.45,84.60,41.86,,1826.832922,46.19007394,61.49902133,4.162985443,76.10
2000,45930000,118000,204600,191944368,420619000,2453000,11952000,411120000,4502000,,,4502000,,141.32,16.27,0.77,125.82,84.12,41.70,,1867.209867,40.37694562,65.01475974,3.515738408,81.93
2001,45902000,132300,198300,176333666.7,403212000,2429946,11411898,394230048,7702000,,,7702000,,137.04,15.58,0.77,122.23,81.26,40.97,,1910.173417,42.96354947,73.13054053,8.115780788,71.15
2002,43042000,164400,231000,188520000,404958000,2687299,11067498,396577801,7630000,,,7630000,,136.69,15.54,0.86,122.01,82.11,39.90,,1955.909239,45.73582251,75.72802607,2.597485546,73.67
2003,42900255,169294,153667,170144333.3,405613000,2551364,10288479,397875885,4773000,,,4773000,,135.99,15.30,0.82,121.50,81.76,39.74,,1996.224148,40.31490808,70.43811879,-5.289907278,86.48
2004,43608180,151286,113806,198452333.3,418131000,2436530,10401542,410165988,4773000,,,4773000,,139.95,15.70,0.78,125.03,84.33,40.71,,2036.319734,40.09558598,72.24318171,1.805062914,83.13
2005,43891350,184523,122444,193747666.7,423456000,3569332,9815260,417210072,4773000,,,4773000,,141.64,15.68,1.13,127.08,85.86,41.22,,2075.788794,39.46906019,61.26814176,-10.97503995,98.58
2006,44914000,170000,135000,174947000,412134000,2921528,9637701,405417827,4803000,,,4803000,,138.56,15.30,0.93,124.19,83.18,41.01,,2117.666517,41.87772281,70.56945149,9.301309734,73.01
2007,46357760,112706,115481,155601000,378771000,2241732,9949486,371063246,4878000,,,4878000,,129.00,14.38,0.71,115.33,75.57,39.75,,2146.811196,29.14467981,72.81343935,2.243987857,83.94
2008,43613844,121551,219981,130833000,336895000,1430036,10200085,328124951,4352000,,,4352000,,115.46,13.23,0.47,102.69,66.45,36.24,,2172.394594,25.58339773,66.522083,-6.291356344,83.40
2009,40436676,104722,231043,109031666.7,292091000,696331,9618541,283168790,4405000,,,4405000,,101.08,11.72,0.24,89.60,57.12,32.48,,2179.802153,7.407558447,64.34986289,-2.172220112,84.37
2010,40436676,83679,257407,134550333.3,336135000,816290,11582500,325368790,4405000,,,4405000,,114.29,13.64,0.27,100.93,66.18,34.74,,2202.109376,22.30722324,61.43732553,-2.912537362,81.53
2011,40436676,105575,566472,142716326,354704000,958538,13754500,341908038,4405000,,,4405000,,119.86,14.94,0.32,105.25,69.64,35.61,,2223.590098,21.48072209,62.1079257,0.670600173,83.09
2012,40436000,111902,542300,143155666.7,347076000,1167124,12227400,336015724,4405000,,,4405000,,117.58,14.24,0.38,103.72,68.42,35.30,,2246.219607,22.62950892,55.52256528,-6.585360423,87.67
2013,41880843,140425,428339,144026606.3,354937000,926035,14699728,341163307,4005000,,,4005000,,120.25,15.19,0.32,105.38,69.23,36.15,,2272.257175,26.03756807,56.83894697,1.316381691,78.03
2014,41880843,152452,332048,145233718.3,356811908,909094,13962174,343758828,4005000,,,4005000,,120.81,14.99,0.32,106.14,69.83,36.30,,2292.977489,20.72031443,48.43440342,-8.404543549,93.82
2015,44345000,150350,370500,147924226.7,354678412,1191000,11561000,344308412,11984000,,,11984000,,123.30,14.22,0.40,109.48,71.62,37.86,,2323.134294,30.15680462,45.73665139,-2.697752026,82.03
2016,62156000,145683,288659,151390333.3,374476000,1247681,12046931,363676750,10588000,,,10588000,,134.17,14.93,0.42,119.65,73.34,46.31,,2340.79326,17.65896595,58.90727797,13.17062658,88.82
2017,64370000,45000,327000,151863666.7,376415378,1154212,12199601,365369989,10536000,,,10536000,,135.40,15.05,0.36,120.71,73.39,47.31,,2366.771914,25.97865382,70.10627253,11.19899456,83.53
2018,71608562,165074,365471,152248389.3,392509592,1777956,12269761,382017787,11653314,,,11653314,,142.73,15.57,0.58,127.75,76.42,51.33,,2392.495136,25.72322266,76.50408355,6.397811022,95.63
2019,71426931,90319,35000,136659622.3,387701948,941765,7922283,380721430,11601438,,,11601438,,141.22,14.02,0.31,127.51,76.29,51.22,,2419.140307,26.64517027,70.24593076,-6.258152795,107.12
2020,60525360,103345,576,138179461.3,369174663,1318940,7354593,363139010,11577942,,,11577942,,132.38,13.28,0.43,119.53,73.83,45.69,,2435.457319,16.31701275,62.60798731,-7.637943448,110.85
2021,71110541,126116,855,138007794.7,382955727,771910,9414610,374313027,12100096,,,12100096,,139.85,14.31,0.27,125.81,75.05,50.76,,2462.326182,26.86886318,72.55614925,9.948161943,88.99
